Algorithm,Time,Distance,Distance from Goal,Path Deviation,Original Distance from Goal,Trajectory Smoothness,Obstacle Clearance,Search Space,Memory
A*,0.022012,8.656854152679443,0.0,0.0,8.062258,0.1963495451279298,2.4562851924841107,17.96875,85.686
A*,0.00495,3.414213538169861,0.0,0.0,3.1622777,0.3926990902558596,7.5,6.640625,21.321
A*,0.093613,18.313708305358887,0.0,0.0,16.40122,0.19634954084936207,2.517624289182046,46.875,128.033
A*,0.003996,2.8284270763397217,0.0,0.0,2.828427,0.0,6.0,5.46875,19.769
A*,0.008476,3.8284270763397217,0.0,0.0,3.6055512,0.3926990731415887,2.1625703849682214,8.203125,25.657
A*,0.043389,10.485281229019165,0.0,0.0,10.0,0.26179938209439246,1.4444444444444444,18.75,34.681
A*,0.019052,12.828427076339722,0.0,0.0,11.045361,0.24166097072009626,1.262631812490238,14.84375,29.233
A*,0.012,6.2426406145095825,0.0,0.0,5.8309517,0.3926990902558596,2.0,11.71875,23.745
A*,0.013985,7.828427076339722,0.0,0.0,7.28011,0.3926990731415887,2.345978616954046,12.890625,44.073
A*,0.046066,12.242640614509583,0.0,0.0,10.0,0.327249236175126,1.5409917327363887,31.25,96.985
A*,0.035562,9.41421353816986,0.0,0.0,8.246211,0.15707963267948966,2.3823028822792915,21.875,71.697
A*,0.005038,3.0,0.0,0.0,3.0,0.0,1.8090169943749475,5.078125,21.265
A*,0.051152,13.071067690849304,0.0,0.0,8.246211,0.2617993877991494,1.3333333333333333,37.5,79.34
A*,0.038059,13.242640614509583,0.0,0.0,12.369317,0.3624914521306973,6.1572706323343045,29.296875,46.369
A*,0.010889,8.071067690849304,0.0,0.0,7.81025,0.11219974007310274,2.4285714285714284,11.328125,24.009
A*,0.013101,5.828427076339722,0.0,0.0,5.3851647,0.3926990731415887,6.1961480122785515,12.890625,24.649
A*,0.040565,12.071067690849304,0.0,0.0,11.18034,0.6425985113277702,5.8244573019412265,31.640625,46.753
A*,0.020522,6.828427076339722,0.0,0.0,6.3245554,0.3365992202193082,4.323042453394452,14.84375,26.737
A*,0.006038,4.0,0.0,0.0,4.0,0.0,5.543652090601087,4.6875,14.081
A*,0.008996,5.2426406145095825,0.0,0.0,5.0,0.1570796292566355,3.899297167342804,8.984375,21.313
A*,0.006513,3.414213538169861,0.0,0.0,3.1622777,0.3926990731415887,2.5,5.46875,14.929
A*,0.039539,12.899494767189026,0.0,0.0,12.206555,0.28559933836789786,4.684427503733932,32.8125,48.805
A*,0.009997,6.414213538169861,0.0,0.0,6.0827627,0.11219974007310274,5.422600302894298,9.375,22.489
A*,0.037256,11.071067690849304,0.0,0.0,10.29563,0.4712388877699064,4.115298244508295,29.6875,45.307
A*,0.012002,8.071067690849304,0.0,0.0,7.81025,0.22439948014620548,1.69165989328054,10.15625,23.153
A*,0.025033,10.242640614509583,0.0,0.0,9.486833,0.3926990902558596,1.8064495102245979,19.140625,36.057
A*,0.008109,5.2426406145095825,0.0,0.0,5.0,0.314159258513271,6.901390260426891,10.15625,22.009
A*,0.023981,11.828427076339722,0.0,0.0,11.0,0.2617993935039064,2.8041901283227406,21.09375,39.025
A*,0.001996,1.4142135381698608,0.0,0.0,1.4142135,0.0,2.5,3.515625,10.241
A*,0.028006,13.828427076339722,0.0,0.0,13.152946,0.11219973518331106,2.5998254827736034,15.625,31.049
A*,0.048997,14.242640614509583,0.0,0.0,13.341664,0.11219974007310274,2.6618654301824223,21.09375,39.785
A*,0.014081,11.0,0.0,0.0,11.0,0.0,1.4125703849682214,12.5,26.961
A*,0.003995,1.4142135381698608,0.0,0.0,1.4142135,0.0,5.5,3.515625,10.049
A*,0.07336,26.071067690849304,0.0,0.0,16.643316,0.28274334224593556,1.7297120246009678,35.9375,66.028
A*,0.006291,2.0,0.0,0.0,2.0,0.0,5.393952027490282,3.515625,12.705
A*,0.033059,9.828427076339722,0.0,0.0,9.219544,0.314159258513271,2.7489178287370732,17.578125,35.593
A*,0.021006,9.828427076339722,0.0,0.0,9.219544,0.31415927220468765,2.082842712474619,13.671875,27.073
A*,0.058176,13.485281229019165,0.0,0.0,12.206555,0.2617993877991494,1.89344577931153,25.78125,43.737
A*,0.015001,5.2426406145095825,0.0,0.0,5.0,0.31415927220468765,3.0,10.15625,22.881
A*,0.008002,7.071067690849304,0.0,0.0,7.071068,0.0,6.546465554663977,11.328125,23.263
A*,0.00635,2.414213538169861,0.0,0.0,2.236068,0.26179938209439246,4.2235160309735145,4.6875,19.641
A*,0.025978,10.899494767189026,0.0,0.0,10.630146,0.08726646450130213,5.350331382786994,21.09375,58.313
A*,0.088164,16.656854152679443,0.0,0.0,12.206555,0.2945243155526108,1.4415309438903738,45.703125,146.51
A*,0.043003,10.242640614509583,0.0,0.0,9.486833,0.4712388877699064,3.8,22.265625,60.761
A*,0.039203,9.828427076339722,0.0,0.0,9.219544,0.2356194438849532,2.0478708664619076,16.015625,29.199
Dijkstra,0.12467,8.656854152679443,0.0,0.0,8.062258,0.0981747725639649,2.5080618877807472,56.640625,67.333
Dijkstra,0.034192,3.414213538169861,0.0,0.0,3.1622777,0.1963495451279298,7.5,19.921875,30.416
Dijkstra,0.184939,18.313708305358887,0.0,0.0,16.40122,0.14726215670666348,3.263099468383074,87.109375,98.761
