map_name,map_category,algorithm,algorithm_group,is_foam,n_trials,success_rate,mean_total_time,std_total_time,mean_total_distance,std_total_distance,mean_obstacle_clearance,std_obstacle_clearance,mean_smoothness,std_smoothness,mean_memory_kib,std_memory_kib
House,non_urban,A*,classical,False,10.0,100.0,0.0993182,0.11202465986362108,22.162236428260805,13.594549827871004,2.519476732246776,1.3694989435603275,0.23767509250668004,0.09309348396544825,139.84720000000002,104.1891352750372
House,non_urban,Dijkstra,classical,False,20.0,100.0,0.1473564,0.08819163529575806,22.162236428260805,13.594549827871004,2.6436045169294404,1.4403766218854543,0.16590284601104083,0.039649819787686724,188.6153,101.54919698554981
House,non_urban,RRT,classical,False,20.0,100.0,12.47476225,16.96320918185097,34.480612981319425,24.018635067829536,2.8293122030732816,1.0580318864324265,0.5030367200336564,0.12849614591638547,484.53395,226.77594075220478
House,non_urban,RRT*,classical,False,20.0,100.0,20.658809249999997,15.759574487957957,23.062236428260803,14.05425032418667,2.7723671643821857,1.3509196007732092,0.4186591700370704,0.11203983329670031,506.09219999999993,237.71832413396322
House,non_urban,RRT-Connect,classical,False,20.0,0.0,,,,,,,,,,
House,non_urban,SPRM,classical,False,10.0,100.0,1.4421585000000001,1.479889158173831,35.76639944314957,29.638903450402122,2.896764261793637,1.2906957516837056,0.4052059368210811,0.08644225767290765,1119.3795999999998,935.7768760070104
House,non_urban,Wave-front,classical,False,20.0,100.0,0.13362265,0.07534164632477512,22.162236428260805,13.594549827871004,2.6436045169294404,1.4403766218854543,0.16590284601104083,0.039649819787686724,46.6617,37.677626464654054
Labyrinth,non_urban,A*,classical,False,20.0,100.0,0.025801249999999998,0.02207469566692823,11.749747383594514,8.038947347341699,3.600442635403618,1.9180536946828421,0.2504427471001408,0.158535860561579,64.577,47.51011820023184
Labyrinth,non_urban,Dijkstra,classical,False,20.0,100.0,0.06233945,0.04747457450833551,11.749747383594514,8.038947347341699,3.67171785366484,1.9418590564684863,0.09033145497112474,0.04778363216431535,89.92599999999999,66.3245523580823
Labyrinth,non_urban,RRT,classical,False,20.0,100.0,2.43500195,3.3028370806799185,18.39827550649643,13.48501159734862,3.796081417465962,1.762391235863109,0.4097627521400297,0.25302171979825794,214.55280000000002,142.12860143391265
Labyrinth,non_urban,RRT*,classical,False,20.0,100.0,8.1724358,7.034370632675958,11.837615352869033,8.164434358236154,3.745231321115223,1.8371256783255818,0.2876159933373955,0.19873249754593614,250.14980000000006,115.60393346015523
Labyrinth,non_urban,RRT-Connect,classical,False,20.0,0.0,,,,,,,,,,
Labyrinth,non_urban,RT,classical,False,10.0,100.0,1.1084808999999998,1.2474202642978387,40.85756818056107,16.104923323100717,3.4100225143479896,0.7666934100218202,0.49834381765374003,0.1455692767915219,273.39189999999996,168.6087993821497
Labyrinth,non_urban,SPRM,classical,False,20.0,100.0,0.14065129999999998,0.24867283577083765,16.125483322143555,14.268587139323799,3.8798149070425545,1.7350227239131768,0.3211078420466965,0.19990040003048012,196.47465,298.15769006689646
Labyrinth,non_urban,Wave-front,classical,False,20.0,100.0,0.0499705,0.03845614081196916,11.749747383594514,8.038947347341699,3.67171785366484,1.9418590564684863,0.09033145497112474,0.04778363216431535,37.6185,36.55770069150958
vin test 8x8 -3,non_urban,Potential Field,classical,False,1.0,100.0,0.046186,0.0,10.656854152679443,0.0,1.5650281539872886,0.0,0.3141592619361251,0.0,134.318,0.0
